company_id,from_year,to_year,previous_pattern,new_pattern,change
PIDILITIND,2018,2019,Liquidating Assets,Reinvestor,Liquidating Assets -> Reinvestor
PIDILITIND,2019,2020,Reinvestor,Liquidating Assets,Reinvestor -> Liquidating Assets
PIDILITIND,2020,2021,Liquidating Assets,Reinvestor,Liquidating Assets -> Reinvestor
PNB,2013,2014,Pre-Revenue,Mixed,Pre-Revenue -> Mixed
PNB,2016,2017,Mixed,Liquidating Assets,Mixed -> Liquidating Assets
PNB,2017,2018,Liquidating Assets,Distress Signal,Liquidating Assets -> Distress Signal
PNB,2018,2019,Distress Signal,Growth Funded by Debt,Distress Signal -> Growth Funded by Debt
PNB,2020,2021,Growth Funded by Debt,Mixed,Growth Funded by Debt -> Mixed
PNB,2023,2024,Mixed,Growth Funded by Debt,Mixed -> Growth Funded by Debt
POWERGRID,2018,2019,Mixed,Reinvestor,Mixed -> Reinvestor
POWERGRID,2021,2022,Reinvestor,Liquidating Assets,Reinvestor -> Liquidating Assets
POWERGRID,2022,2023,Liquidating Assets,Reinvestor,Liquidating Assets -> Reinvestor
RECLTD,2015,2016,Distress Signal,Growth Funded by Debt,Distress Signal -> Growth Funded by Debt
RECLTD,2016,2017,Growth Funded by Debt,Reinvestor,Growth Funded by Debt -> Reinvestor
RECLTD,2017,2018,Reinvestor,Distress Signal,Reinvestor -> Distress Signal
RECLTD,2021,2022,Distress Signal,Growth Funded by Debt,Distress Signal -> Growth Funded by Debt
RELIANCE,2015,2016,Mixed,Reinvestor,Mixed -> Reinvestor
RELIANCE,2016,2017,Reinvestor,Mixed,Reinvestor -> Mixed
RELIANCE,2017,2018,Mixed,Reinvestor,Mixed -> Reinvestor
RELIANCE,2018,2019,Reinvestor,Mixed,Reinvestor -> Mixed
RELIANCE,2019,2020,Mixed,Reinvestor,Mixed -> Reinvestor
RELIANCE,2020,2021,Reinvestor,Mixed,Reinvestor -> Mixed
RELIANCE,2023,2024,Mixed,Reinvestor,Mixed -> Reinvestor
SBILIFE,2020,2021,Reinvestor,Mixed,Reinvestor -> Mixed
